LECROYWS42Xs,24809,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,18-Feb-2003 23:07:02,0                 
Time,Ampl
-2.0001969,-0.351986
-1.9999969,-0.383985
-1.9997969,-0.351986
-1.9995969,-0.351986
-1.9993969,-0.383985
-1.9991969,-0.383985
-1.9989969,-0.351986
-1.9987969,-0.351986
-1.9985969,-0.383985
-1.9983969,-0.351986
-1.9981969,-0.351986
-1.9979969,-0.383985
-1.9977969,-0.383985
-1.9975969,-0.351986
-1.9973969,-0.351986
-1.9971969,-0.383985
-1.9969969,-0.383985
-1.9967969,-0.383985
-1.9965969,-0.383985
-1.9963969,-0.383985
-1.9961969,-0.383985
-1.9959969,-0.415984
-1.9957969,-0.383985
-1.9955969,-0.447983
-1.9953969,-0.383985
-1.9951969,-0.383985
-1.9949969,-0.415984
-1.9947969,-0.383985
-1.9945969,-0.415984
-1.9943969,-0.415984
-1.9941969,-0.415984
-1.9939969,-0.415984
-1.9937969,-0.383985
-1.9935969,-0.383985
-1.9933969,-0.351986
-1.9931969,-0.383985
-1.9929969,-0.383985
-1.9927969,-0.351986
-1.9925969,-0.383985
-1.9923969,-0.351986
-1.9921969,-0.415984
-1.9919969,-0.383985
-1.9917969,-0.383985
-1.9915969,-0.383985
-1.9913969,-0.415984
-1.9911969,-0.383985
-1.9909969,-0.383985
-1.9907969,-0.351986
-1.9905969,-0.351986
-1.9903969,-0.383985
-1.9901969,-0.351986
-1.9899969,-0.383985
-1.9897969,-0.351986
-1.9895969,-0.383985
-1.9893969,-0.415984
-1.9891969,-0.351986
-1.9889969,-0.383985
-1.9887969,-0.351986
-1.9885969,-0.351986
-1.9883969,-0.319988
-1.9881969,-0.351986
-1.9879969,-0.351986
-1.9877969,-0.383985
-1.9875969,-0.351986
-1.9873969,-0.351986
-1.9871969,-0.351986
-1.9869969,-0.319988
-1.9867969,-0.351986
-1.9865969,-0.383985
-1.9863969,-0.319988
-1.9861969,-0.351986
-1.9859969,-0.383985
-1.9857969,-0.351986
-1.9855969,-0.351986
-1.9853969,-0.351986
-1.9851969,-0.383985
-1.9849969,-0.351986
-1.9847969,-0.351986
-1.9845969,-0.415984
-1.9843969,-0.383985
-1.9841969,-0.351986
-1.9839969,-0.319988
-1.9837969,-0.351986
-1.9835969,-0.415984
-1.9833969,-0.383985
-1.9831969,-0.319988
-1.9829969,-0.383985
-1.9827969,-0.351986
-1.9825969,-0.351986
-1.9823969,-0.383985
-1.9821969,-0.351986
-1.9819969,-0.351986
-1.9817969,-0.383985
-1.9815969,-0.351986
-1.9813969,-0.351986
-1.9811969,-0.351986
-1.9809969,-0.383985
-1.9807969,-0.351986
-1.9805969,-0.351986
-1.9803969,-0.351986
-1.9801969,-0.351986
-1.9799969,-0.351986
-1.9797969,-0.351986
-1.9795969,-0.383985
-1.9793969,-0.415984
-1.9791969,-0.383985
-1.9789969,-0.351986
-1.9787969,-0.351986
-1.9785969,-0.351986
-1.9783969,-0.319988
-1.9781969,-0.383985
-1.9779969,-0.351986
-1.9777969,-0.351986
-1.9775969,-0.383985
-1.9773969,-0.351986
-1.9771969,-0.319988
-1.9769969,-0.383985
-1.9767969,-0.383985
-1.9765969,-0.351986
-1.9763969,-0.383985
-1.9761969,-0.383985
-1.9759969,-0.351986
-1.9757969,-0.351986
-1.9755969,-0.351986
-1.9753969,-0.351986
-1.9751969,-0.351986
-1.9749969,-0.351986
-1.9747969,-0.319988
-1.9745969,-0.383985
-1.9743969,-0.351986
-1.9741969,-0.351986
-1.9739969,-0.383985
-1.9737969,-0.351986
-1.9735969,-0.351986
-1.9733969,-0.351986
-1.9731969,-0.351986
-1.9729969,-0.351986
-1.9727969,-0.351986
-1.9725969,-0.351986
-1.9723969,-0.351986
-1.9721969,-0.383985
-1.9719969,-0.383985
-1.9717969,-0.383985
-1.9715969,-0.383985
-1.9713969,-0.383985
-1.9711969,-0.351986
-1.9709969,-0.383985
-1.9707969,-0.319988
-1.9705969,-0.351986
-1.9703969,-0.383985
-1.9701969,-0.415984
-1.9699969,-0.351986
-1.9697969,-0.415984
-1.9695969,-0.383985
-1.9693969,-0.351986
-1.9691969,-0.383985
-1.9689969,-0.383985
-1.9687969,-0.383985
-1.9685969,-0.351986
-1.9683969,-0.351986
-1.9681969,-0.415984
-1.9679969,-0.383985
-1.9677969,-0.415984
-1.9675969,-0.351986
-1.9673969,-0.383985
-1.9671969,-0.383985
-1.9669969,-0.351986
-1.9667969,-0.383985
-1.9665969,-0.383985
-1.9663969,-0.383985
-1.9661969,-0.383985
-1.9659969,-0.415984
-1.9657969,-0.351986
-1.9655969,-0.383985
-1.9653969,-0.383985
-1.9651969,-0.287989
-1.9649969,-0.383985
-1.9647969,-0.383985
-1.9645969,-0.351986
-1.9643969,-0.415984
-1.9641969,-0.351986
-1.9639969,-0.351986
-1.9637969,-0.383985
-1.9635969,-0.383985
-1.9633969,-0.383985
-1.9631969,-0.447983
-1.9629969,-0.383985
-1.9627969,-0.351986
-1.9625969,-0.383985
-1.9623969,-0.383985
-1.9621969,-0.351986
-1.9619969,-0.415984
-1.9617969,-0.319988
-1.9615969,-0.351986
-1.9613969,-0.383985
-1.9611969,-0.383985
-1.9609969,-0.351986
-1.9607969,-0.351986
-1.9605969,-0.351986
-1.9603969,-0.351986
-1.9601969,-0.351986
-1.9599969,-0.383985
-1.9597969,-0.319988
-1.9595969,-0.351986
-1.9593969,-0.351986
-1.9591969,-0.351986
-1.9589969,-0.383985
-1.9587969,-0.351986
-1.9585969,-0.287989
-1.9583969,-0.319988
-1.9581969,-0.319988
-1.9579969,-0.319988
-1.9577969,-0.319988
-1.9575969,-0.351986
-1.9573969,-0.319988
-1.9571969,-0.319988
-1.9569969,-0.319988
-1.9567969,-0.287989
-1.9565969,-0.287989
-1.9563969,-0.319988
-1.9561969,-0.319988
-1.9559969,-0.319988
-1.9557969,-0.287989
-1.9555969,-0.287989
-1.9553969,-0.287989
-1.9551969,-0.287989
-1.9549969,-0.287989
-1.9547969,-0.287989
-1.9545969,-0.25599
-1.9543969,-0.287989
-1.9541969,-0.287989
-1.9539969,-0.25599
-1.9537969,-0.287989
-1.9535969,-0.287989
-1.9533969,-0.287989
-1.9531969,-0.25599
-1.9529969,-0.287989
-1.9527969,-0.25599
-1.9525969,-0.287989
-1.9523969,-0.25599
-1.9521969,-0.25599
-1.9519969,-0.223991
-1.9517969,-0.25599
-1.9515969,-0.25599
-1.9513969,-0.287989
-1.9511969,-0.25599
-1.9509969,-0.25599
-1.9507969,-0.287989
-1.9505969,-0.25599
-1.9503969,-0.25599
-1.9501969,-0.25599
-1.9499969,-0.25599
-1.9497969,-0.223991
-1.9495969,-0.25599
-1.9493969,-0.319988
-1.9491969,-0.191993
-1.9489969,-0.223991
-1.9487969,-0.25599
-1.9485969,-0.25599
-1.9483969,-0.223991
-1.9481969,-0.25599
-1.9479969,-0.25599
-1.9477969,-0.25599
-1.9475969,-0.223991
-1.9473969,-0.25599
-1.9471969,-0.25599
-1.9469969,-0.223991
-1.9467969,-0.223991
-1.9465969,-0.25599
-1.9463969,-0.191993
-1.9461969,-0.223991
-1.9459969,-0.25599
-1.9457969,-0.223991
-1.9455969,-0.191993
-1.9453969,-0.191993
-1.9451969,-0.25599
-1.9449969,-0.223991
